====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 600 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
 Total Target Vacancies     = 104 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  0000.00E+00  0000.00E+00  
400010.E-03  8000.00E-07  1209.57E-05  
600010.E-03  4000.00E-07  1660.22E-07  
800010.E-03  4000.00E-07  5427.52E-08  
100001.E-02  2000.00E-07  0000.00E+00  
120001.E-02  1000.00E-06  6409.53E-06  
140001.E-02  2000.00E-07  1521.72E-07  
160001.E-02  6000.00E-07  4131.50E-07  
180001.E-02  4000.00E-07  0000.00E+00  
200001.E-02  1000.00E-06  1646.78E-06  
220001.E-02  6000.00E-07  0000.00E+00  
240001.E-02  8000.00E-07  2912.27E-08  
260001.E-02  6000.00E-07  6356.96E-07  
280001.E-02  2000.00E-07  0000.00E+00  
300001.E-02  8000.00E-07  0000.00E+00  
320001.E-02  8000.00E-07  1243.08E-06  
340001.E-02  8000.00E-07  1786.14E-07  
360001.E-02  8000.00E-07  1291.44E-06  
380001.E-02  1200.00E-06  4528.97E-06  
400001.E-02  1000.00E-06  1221.22E-06  
420001.E-02  1000.00E-06  3272.87E-07  
440001.E-02  4000.00E-07  1328.93E-05  
460001.E-02  0000.00E+00  0000.00E+00  
480001.E-02  1600.00E-06  7997.82E-07  
500001.E-02  8000.00E-07  2957.68E-07  
520001.E-02  4000.00E-07  5529.67E-08  
540001.E-02  4000.00E-07  3711.39E-07  
560001.E-02  8000.00E-07  2544.95E-05  
580001.E-02  4000.00E-07  0000.00E+00  
600001.E-02  8000.00E-07  4088.38E-07  
620001.E-02  6000.00E-07  2357.32E-07  
640001.E-02  1800.00E-06  1081.24E-06  
660001.E-02  1200.00E-06  1558.87E-06  
680001.E-02  8000.00E-07  2537.59E-10  
700001.E-02  8000.00E-07  3520.93E-06  
720001.E-02  2000.00E-06  4798.93E-06  
740001.E-02  1400.00E-06  1282.96E-05  
760001.E-02  4600.00E-06  1137.08E-05  
780001.E-02  2600.00E-06  3983.77E-06  
800001.E-02  1400.00E-06  1049.96E-06  
820001.E-02  5400.00E-06  3713.42E-06  
840001.E-02  5600.00E-06  4799.77E-06  
860001.E-02  2600.00E-06  1022.23E-05  
880001.E-02  3400.00E-06  2068.80E-05  
900001.E-02  6200.00E-06  2095.45E-06  
920001.E-02  4800.00E-06  3255.84E-06  
940001.E-02  2000.00E-06  1020.17E-05  
960001.E-02  3200.00E-06  2091.86E-06  
980001.E-02  3400.00E-06  6317.02E-06  
100000.E-01  2800.00E-06  1142.50E-05  
102000.E-01  6000.00E-06  7915.68E-06  
104000.E-01  6000.00E-06  5481.12E-06  
106000.E-01  8400.00E-06  3378.32E-06  
108000.E-01  1100.00E-05  6890.44E-06  
110000.E-01  7400.00E-06  1145.92E-05  
112000.E-01  8200.00E-06  1141.61E-05  
114000.E-01  1000.00E-05  2064.23E-05  
116000.E-01  7600.00E-06  1818.01E-05  
118000.E-01  1260.00E-05  1470.43E-05  
120000.E-01  9000.00E-06  3491.22E-06  
122000.E-01  9400.00E-06  5784.16E-06  
124000.E-01  6400.00E-06  2342.39E-06  
126000.E-01  4600.00E-06  2450.81E-06  
128000.E-01  6600.00E-06  9012.83E-06  
130000.E-01  5400.00E-06  2574.63E-06  
132000.E-01  5800.00E-06  2415.59E-06  
134000.E-01  3000.00E-06  8257.47E-07  
136000.E-01  6000.00E-07  6927.44E-07  
138000.E-01  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
156000.E-01  0000.00E+00  0000.00E+00  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
