====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer  1 : ceria
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 7.578E22 atoms/cm3 = 7.22 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =25.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100010.E-03  258316.E-07  120629.E-06
200010.E-03  268473.E-07  314988.E-06
300010.E-03  388254.E-07  273649.E-06
400010.E-03  349188.E-07  725401.E-07
500010.E-03  368546.E-07  675205.E-07
600010.E-03  449868.E-07  725927.E-06
700010.E-03  480409.E-07  997440.E-07
800010.E-03  364688.E-07  201899.E-06
900010.E-03  337962.E-07  817881.E-07
100001.E-02  406646.E-07  240044.E-06
110001.E-02  404982.E-07  892124.E-07
120001.E-02  224536.E-07  445278.E-07
130001.E-02  279924.E-07  285519.E-06
140001.E-02  352528.E-07  738156.E-07
150001.E-02  346559.E-07  170388.E-05
160001.E-02  627705.E-07  619902.E-06
170001.E-02  137334.E-06  139197.E-05
180001.E-02  218620.E-06  791125.E-06
190001.E-02  867677.E-07  295613.E-06
200001.E-02  676160.E-07  960398.E-06
210001.E-02  659670.E-07  784462.E-06
220001.E-02  591137.E-07  571840.E-06
230001.E-02  712029.E-07  839915.E-06
240001.E-02  357006.E-07  217464.E-06
250001.E-02  406148.E-07  170139.E-05
260001.E-02  413153.E-07  134718.E-06
270001.E-02  441018.E-07  351732.E-06
280001.E-02  545913.E-07  191523.E-06
290001.E-02  504202.E-07  311383.E-06
300001.E-02  623611.E-07  960590.E-06
310001.E-02  536176.E-07  100084.E-06
320001.E-02  456126.E-07  391051.E-06
330001.E-02  501246.E-07  244458.E-06
340001.E-02  462266.E-07  192308.E-06
350001.E-02  446525.E-07  626027.E-06
360001.E-02  585416.E-07  331897.E-06
370001.E-02  570361.E-07  309004.E-06
380001.E-02  572317.E-07  173454.E-06
390001.E-02  901013.E-07  206076.E-06
400001.E-02  729612.E-07  293518.E-06
410001.E-02  104644.E-06  415391.E-06
420001.E-02  148590.E-06  616227.E-06
430001.E-02  197024.E-06  125322.E-05
440001.E-02  827951.E-07  872355.E-06
450001.E-02  946919.E-07  377805.E-06
460001.E-02  126561.E-06  127752.E-05
470001.E-02  144100.E-06  686386.E-06
480001.E-02  453261.E-06  253778.E-05
490001.E-02  303673.E-06  159590.E-05
500001.E-02  570036.E-06  298356.E-05
510001.E-02  338421.E-06  242922.E-05
520001.E-02  246251.E-06  114374.E-05
530001.E-02  257303.E-06  129415.E-05
540001.E-02  202251.E-06  237418.E-05
550001.E-02  141517.E-06  125174.E-05
560001.E-02  273372.E-06  956259.E-06
570001.E-02  292964.E-06  123132.E-05
580001.E-02  269723.E-06  137947.E-05
590001.E-02  327004.E-06  962818.E-06
600001.E-02  578146.E-06  233042.E-05
610001.E-02  614228.E-07  971602.E-06
620001.E-02  321668.E-07  811778.E-06
630001.E-02  126874.E-06  163875.E-06
640001.E-02  314288.E-07  708385.E-07
650001.E-02  845114.E-07  148884.E-06
660001.E-02  151931.E-06  793222.E-06
670001.E-02  451698.E-07  202955.E-06
680001.E-02  000000.E+00  000000.E+00
690001.E-02  000000.E+00  000000.E+00
700001.E-02  000000.E+00  000000.E+00
710001.E-02  000000.E+00  000000.E+00
720001.E-02  000000.E+00  000000.E+00
730001.E-02  000000.E+00  000000.E+00
740001.E-02  000000.E+00  000000.E+00
750001.E-02  000000.E+00  000000.E+00
760001.E-02  000000.E+00  000000.E+00
770001.E-02  000000.E+00  000000.E+00
780001.E-02  000000.E+00  000000.E+00
790001.E-02  000000.E+00  000000.E+00
800001.E-02  000000.E+00  000000.E+00
810001.E-02  000000.E+00  000000.E+00
820001.E-02  000000.E+00  000000.E+00
830001.E-02  000000.E+00  000000.E+00
840001.E-02  000000.E+00  000000.E+00
850001.E-02  000000.E+00  000000.E+00
860001.E-02  000000.E+00  000000.E+00
870001.E-02  000000.E+00  000000.E+00
880001.E-02  000000.E+00  000000.E+00
890001.E-02  000000.E+00  000000.E+00
900001.E-02  000000.E+00  000000.E+00
910001.E-02  000000.E+00  000000.E+00
920001.E-02  000000.E+00  000000.E+00
930001.E-02  000000.E+00  000000.E+00
940001.E-02  000000.E+00  000000.E+00
950001.E-02  000000.E+00  000000.E+00
960001.E-02  000000.E+00  000000.E+00
970001.E-02  000000.E+00  000000.E+00
980001.E-02  000000.E+00  000000.E+00
990001.E-02  000000.E+00  000000.E+00
100000.E-01  000000.E+00  000000.E+00
