====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 250 keV
============= TARGET MATERIAL ======================================
Layer  1 : ceria
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 7.578E22 atoms/cm3 = 7.22 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =25.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100010.E-03  327517.E-07  494092.E-06
200010.E-03  307011.E-07  296707.E-07
300010.E-03  254680.E-07  798029.E-07
400010.E-03  346016.E-07  148622.E-07
500010.E-03  264859.E-07  287777.E-07
600010.E-03  239665.E-07  625173.E-07
700010.E-03  217371.E-07  210580.E-07
800010.E-03  218487.E-07  370844.E-07
900010.E-03  235817.E-07  157435.E-07
100001.E-02  264565.E-07  248560.E-05
110001.E-02  317263.E-07  117972.E-06
120001.E-02  306865.E-07  563906.E-07
130001.E-02  209250.E-07  166549.E-06
140001.E-02  233519.E-07  151593.E-06
150001.E-02  736434.E-07  765367.E-06
160001.E-02  538991.E-07  259546.E-06
170001.E-02  730190.E-07  106076.E-06
180001.E-02  729400.E-07  135845.E-06
190001.E-02  126575.E-06  336987.E-06
200001.E-02  460714.E-07  285427.E-06
210001.E-02  278690.E-07  698644.E-06
220001.E-02  195375.E-07  496091.E-07
230001.E-02  531025.E-07  195964.E-05
240001.E-02  125249.E-06  412172.E-06
250001.E-02  622224.E-07  428149.E-06
260001.E-02  651184.E-07  888857.E-06
270001.E-02  493365.E-07  770827.E-07
280001.E-02  439285.E-07  497592.E-06
290001.E-02  319240.E-07  863443.E-07
300001.E-02  416559.E-07  184658.E-06
310001.E-02  468679.E-07  118776.E-06
320001.E-02  123790.E-06  108536.E-05
330001.E-02  729277.E-07  912188.E-06
340001.E-02  625935.E-07  715764.E-05
350001.E-02  745139.E-07  489469.E-06
360001.E-02  737900.E-07  328648.E-05
370001.E-02  658554.E-07  794771.E-06
380001.E-02  610117.E-07  947008.E-07
390001.E-02  758499.E-07  573183.E-06
400001.E-02  129796.E-06  560451.E-06
410001.E-02  113004.E-06  206794.E-05
420001.E-02  102302.E-06  204241.E-05
430001.E-02  678002.E-07  142723.E-05
440001.E-02  742225.E-07  197633.E-06
450001.E-02  107117.E-06  442296.E-06
460001.E-02  118481.E-06  621658.E-06
470001.E-02  161124.E-06  264798.E-05
480001.E-02  120115.E-06  670146.E-06
490001.E-02  760121.E-07  288933.E-05
500001.E-02  120921.E-06  116178.E-05
510001.E-02  677163.E-07  110247.E-05
520001.E-02  129393.E-06  696427.E-06
530001.E-02  270500.E-06  811442.E-06
540001.E-02  526834.E-07  194531.E-06
550001.E-02  632269.E-07  494906.E-06
560001.E-02  573785.E-07  111023.E-05
570001.E-02  521555.E-07  100287.E-05
580001.E-02  218780.E-06  142633.E-05
590001.E-02  164207.E-06  138713.E-05
600001.E-02  198034.E-06  138345.E-05
610001.E-02  146526.E-06  121443.E-05
620001.E-02  270212.E-06  164647.E-05
630001.E-02  159828.E-06  133949.E-05
640001.E-02  146242.E-06  152682.E-05
650001.E-02  997628.E-07  964086.E-06
660001.E-02  190555.E-06  474475.E-05
670001.E-02  227182.E-06  188998.E-05
680001.E-02  275720.E-06  102137.E-05
690001.E-02  221674.E-06  145419.E-05
700001.E-02  218096.E-06  131429.E-05
710001.E-02  299571.E-06  188240.E-05
720001.E-02  328220.E-06  228228.E-05
730001.E-02  139521.E-06  299435.E-05
740001.E-02  132288.E-06  463504.E-06
750001.E-02  888709.E-07  274760.E-06
760001.E-02  414293.E-07  153231.E-06
770001.E-02  425282.E-07  192908.E-06
780001.E-02  647639.E-07  430427.E-06
790001.E-02  395393.E-07  435674.E-07
800001.E-02  439251.E-07  149274.E-06
810001.E-02  107322.E-06  265551.E-06
820001.E-02  261882.E-07  365427.E-07
830001.E-02  764084.E-08  133648.E-06
840001.E-02  624143.E-07  875200.E-06
850001.E-02  375179.E-07  344474.E-06
860001.E-02  595234.E-07  375784.E-06
870001.E-02  526793.E-07  418831.E-06
880001.E-02  000000.E+00  000000.E+00
890001.E-02  000000.E+00  000000.E+00
900001.E-02  000000.E+00  000000.E+00
910001.E-02  000000.E+00  000000.E+00
920001.E-02  000000.E+00  000000.E+00
930001.E-02  000000.E+00  000000.E+00
940001.E-02  000000.E+00  000000.E+00
950001.E-02  000000.E+00  000000.E+00
960001.E-02  000000.E+00  000000.E+00
970001.E-02  000000.E+00  000000.E+00
980001.E-02  000000.E+00  000000.E+00
990001.E-02  000000.E+00  000000.E+00
100000.E-01  000000.E+00  000000.E+00
