====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 500 keV
============= TARGET MATERIAL ======================================
Layer  1 : ceria
Layer Width =     1.E+04 A ;
  Layer # 1- Density = 7.578E22 atoms/cm3 = 7.22 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =24.94
 Total Target Vacancies     = 77 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
100010.E-03  0000.00E+00  0000.00E+00  
200010.E-03  0000.00E+00  0000.00E+00  
300010.E-03  4009.43E-07  9708.11E-07  
400010.E-03  4009.43E-07  0000.00E+00  
500010.E-03  4009.43E-07  0000.00E+00  
600010.E-03  0000.00E+00  0000.00E+00  
700010.E-03  8018.86E-07  6036.50E-07  
800010.E-03  4009.43E-07  0000.00E+00  
900010.E-03  4009.43E-07  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  
110001.E-02  8018.86E-07  1994.03E-07  
120001.E-02  4009.43E-07  5414.37E-07  
130001.E-02  2405.66E-06  6643.98E-06  
140001.E-02  0000.00E+00  0000.00E+00  
150001.E-02  0000.00E+00  0000.00E+00  
160001.E-02  0000.00E+00  0000.00E+00  
170001.E-02  0000.00E+00  0000.00E+00  
180001.E-02  4009.43E-07  3502.90E-08  
190001.E-02  4009.43E-07  3239.37E-08  
200001.E-02  8018.86E-07  4147.15E-06  
210001.E-02  8018.86E-07  3336.24E-06  
220001.E-02  8018.86E-07  0000.00E+00  
230001.E-02  4009.43E-07  0000.00E+00  
240001.E-02  8018.86E-07  4956.44E-06  
250001.E-02  0000.00E+00  0000.00E+00  
260001.E-02  0000.00E+00  0000.00E+00  
270001.E-02  8018.86E-07  6695.97E-06  
280001.E-02  4009.43E-07  4153.66E-07  
290001.E-02  1202.83E-06  7859.17E-07  
300001.E-02  0000.00E+00  0000.00E+00  
310001.E-02  8018.86E-07  1322.42E-06  
320001.E-02  1202.83E-06  8431.48E-08  
330001.E-02  8018.86E-07  0000.00E+00  
340001.E-02  1202.83E-06  6267.92E-05  
350001.E-02  4009.43E-07  2790.05E-07  
360001.E-02  1202.83E-06  2199.93E-07  
370001.E-02  4009.43E-07  2785.71E-06  
380001.E-02  1202.83E-06  4966.39E-06  
390001.E-02  4009.43E-07  0000.00E+00  
400001.E-02  0000.00E+00  0000.00E+00  
410001.E-02  4009.43E-07  1071.84E-05  
420001.E-02  2004.71E-06  2358.83E-05  
430001.E-02  1202.83E-06  1020.34E-05  
440001.E-02  1202.83E-06  1623.93E-07  
450001.E-02  1202.83E-06  1177.08E-06  
460001.E-02  8018.86E-07  5765.99E-07  
470001.E-02  1202.83E-06  1179.86E-08  
480001.E-02  1202.83E-06  0000.00E+00  
490001.E-02  1202.83E-06  2019.34E-06  
500001.E-02  1603.77E-06  1448.59E-06  
510001.E-02  8018.86E-07  1374.42E-06  
520001.E-02  8018.86E-07  1631.31E-06  
530001.E-02  2806.60E-06  7917.22E-06  
540001.E-02  2405.66E-06  7982.22E-07  
550001.E-02  1603.77E-06  2047.57E-07  
560001.E-02  8018.86E-07  0000.00E+00  
570001.E-02  3608.49E-06  1978.45E-05  
580001.E-02  1603.77E-06  7612.22E-08  
590001.E-02  4009.43E-07  2454.12E-07  
600001.E-02  4009.43E-07  2085.96E-07  
610001.E-02  1603.77E-06  4558.24E-06  
620001.E-02  2405.66E-06  5407.95E-06  
630001.E-02  2405.66E-06  2635.73E-06  
640001.E-02  3608.49E-06  3044.51E-06  
650001.E-02  6014.14E-06  1898.61E-05  
660001.E-02  2405.66E-06  2073.58E-04  
670001.E-02  1603.77E-06  2430.21E-06  
680001.E-02  8018.86E-07  6024.19E-06  
690001.E-02  4009.43E-07  1425.88E-07  
700001.E-02  8018.86E-07  0000.00E+00  
710001.E-02  1603.77E-06  5112.10E-06  
720001.E-02  1202.83E-06  3094.83E-06  
730001.E-02  8018.86E-07  1667.22E-07  
740001.E-02  1202.83E-06  6419.58E-06  
750001.E-02  8018.86E-07  0000.00E+00  
760001.E-02  2004.71E-06  2321.80E-06  
770001.E-02  2405.66E-06  8525.29E-06  
780001.E-02  2405.66E-06  3504.62E-06  
790001.E-02  8018.86E-07  4312.93E-09  
800001.E-02  8018.86E-07  9328.42E-07  
810001.E-02  1202.83E-06  5740.82E-06  
820001.E-02  2806.60E-06  7757.26E-07  
830001.E-02  4009.43E-07  1604.86E-07  
840001.E-02  8018.86E-07  8910.95E-07  
850001.E-02  1603.77E-06  2785.88E-07  
860001.E-02  5212.26E-06  7137.20E-06  
870001.E-02  7617.91E-06  2204.45E-05  
880001.E-02  8018.86E-06  2584.78E-06  
890001.E-02  4009.43E-06  8505.93E-06  
900001.E-02  2806.60E-06  1063.01E-06  
910001.E-02  2806.60E-06  2869.51E-06  
920001.E-02  4410.37E-06  3630.26E-06  
930001.E-02  3207.54E-06  3477.38E-05  
940001.E-02  1202.83E-06  5047.54E-07  
950001.E-02  1202.83E-06  1596.90E-06  
960001.E-02  4410.37E-06  6453.63E-06  
970001.E-02  4009.43E-06  7643.21E-06  
980001.E-02  6816.03E-06  1464.70E-05  
990001.E-02  1002.36E-05  3808.36E-06  
100000.E-01  5212.26E-06  2009.80E-05  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
