====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 700 keV
============= TARGET MATERIAL ======================================
Layer 1 : ceria
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 7.578E22 atoms/cm3 = 7.22 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =000024.81
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100010.E-03  6429.09E-02  5977.49E-08
200010.E-03  6348.96E-02  1770.56E-07
300010.E-03  6298.99E-02  1264.20E-05
400010.E-03  6250.79E-02  1924.64E-06
500010.E-03  6349.13E-02  3761.34E-06
600010.E-03  6395.58E-02  5953.32E-07
700010.E-03  6344.12E-02  0000.00E+00
800010.E-03  6323.55E-02  3680.46E-06
900010.E-03  6194.81E-02  4110.64E-06
100001.E-02  6170.25E-02  7818.47E-06
110001.E-02  6145.28E-02  3409.38E-06
120001.E-02  6160.59E-02  1616.53E-06
130001.E-02  6194.25E-02  0000.00E+00
140001.E-02  6241.85E-02  8480.34E-06
150001.E-02  6305.37E-02  5286.48E-06
160001.E-02  6183.11E-02  1931.99E-06
170001.E-02  6140.60E-02  6304.98E-05
180001.E-02  6052.70E-02  5499.05E-07
190001.E-02  6040.42E-02  8160.26E-08
200001.E-02  5965.81E-02  2205.17E-06
210001.E-02  5937.01E-02  1932.22E-05
220001.E-02  6087.97E-02  9599.56E-07
230001.E-02  6175.18E-02  4731.80E-06
240001.E-02  6223.13E-02  5861.01E-08
250001.E-02  6268.43E-02  5705.21E-06
260001.E-02  6305.94E-02  1495.33E-06
270001.E-02  6203.42E-02  3074.49E-05
280001.E-02  6179.80E-02  1342.04E-05
290001.E-02  6207.79E-02  0000.00E+00
300001.E-02  6212.21E-02  5528.59E-06
310001.E-02  6272.97E-02  2527.23E-06
320001.E-02  6308.53E-02  1057.57E-06
330001.E-02  6385.17E-02  5239.60E-06
340001.E-02  6381.05E-02  3068.00E-07
350001.E-02  6355.24E-02  7499.06E-06
360001.E-02  6345.71E-02  1234.40E-05
370001.E-02  6310.13E-02  4340.32E-06
380001.E-02  6319.07E-02  8996.35E-06
390001.E-02  6352.93E-02  9647.78E-07
400001.E-02  6338.19E-02  1656.36E-05
410001.E-02  6446.29E-02  2310.41E-05
420001.E-02  6378.19E-02  1816.89E-06
430001.E-02  6232.22E-02  9494.47E-08
440001.E-02  6133.63E-02  1357.20E-05
450001.E-02  5949.56E-02  1205.01E-05
460001.E-02  5868.88E-02  5803.71E-06
470001.E-02  5888.64E-02  3045.35E-06
480001.E-02  5988.50E-02  6673.32E-04
490001.E-02  6062.13E-02  1531.79E-05
500001.E-02  6131.02E-02  2387.31E-06
510001.E-02  6165.94E-02  1757.03E-06
520001.E-02  6129.35E-02  3738.37E-06
530001.E-02  6087.29E-02  3374.07E-06
540001.E-02  5998.38E-02  4602.85E-06
550001.E-02  5952.61E-02  4361.96E-07
560001.E-02  5941.94E-02  5314.97E-06
570001.E-02  5894.86E-02  8467.60E-06
580001.E-02  5772.61E-02  2553.47E-05
590001.E-02  5692.13E-02  3750.81E-07
600001.E-02  5671.00E-02  1012.25E-05
610001.E-02  5925.72E-02  2930.43E-05
620001.E-02  5940.33E-02  9686.53E-06
630001.E-02  5955.49E-02  9429.57E-06
640001.E-02  5803.20E-02  4199.26E-05
650001.E-02  5752.52E-02  1174.77E-05
660001.E-02  5693.70E-02  4112.00E-06
670001.E-02  5659.66E-02  1829.37E-05
680001.E-02  5480.90E-02  6327.89E-05
690001.E-02  5693.00E-02  3309.12E-05
700001.E-02  5687.49E-02  8553.68E-06
710001.E-02  6002.76E-02  1692.13E-05
720001.E-02  6016.25E-02  3637.31E-05
730001.E-02  5759.69E-02  5060.71E-06
740001.E-02  5470.44E-02  1076.88E-05
750001.E-02  5380.91E-02  7409.51E-05
760001.E-02  5204.22E-02  4387.88E-05
770001.E-02  5293.98E-02  1075.33E-05
780001.E-02  5361.19E-02  3795.75E-05
790001.E-02  5338.90E-02  5079.75E-06
800001.E-02  5519.60E-02  1717.21E-05
810001.E-02  5816.43E-02  1092.54E-05
820001.E-02  5696.73E-02  2198.33E-05
830001.E-02  5579.90E-02  3931.81E-05
840001.E-02  5270.32E-02  1507.30E-05
850001.E-02  5401.94E-02  1518.58E-05
860001.E-02  5226.62E-02  1055.28E-03
870001.E-02  4337.78E-02  6104.62E-06
880001.E-02  4334.34E-02  9508.61E-06
890001.E-02  4370.06E-02  5867.65E-05
900001.E-02  4236.97E-02  8313.07E-05
910001.E-02  4048.86E-02  7051.95E-06
920001.E-02  3994.43E-02  1116.25E-05
930001.E-02  4042.93E-02  8475.53E-06
940001.E-02  4060.61E-02  1280.96E-05
950001.E-02  4068.57E-02  2255.15E-04
960001.E-02  4196.14E-02  2821.81E-05
970001.E-02  4107.90E-02  1464.36E-05
980001.E-02  3730.58E-02  1467.14E-05
990001.E-02  3754.62E-02  3259.30E-04
100000.E-01  4011.44E-02  3473.72E-05
