====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer 1 : ceria
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 7.578E22 atoms/cm3 = 7.22 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =000025.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100010.E-03  4624.34E-02  2133.81E-06
200010.E-03  4546.46E-02  8564.96E-06
300010.E-03  4282.97E-02  1937.89E-05
400010.E-03  4429.69E-02  2428.07E-05
500010.E-03  4655.86E-02  3587.70E-06
600010.E-03  4471.07E-02  1526.25E-05
700010.E-03  4414.95E-02  1005.89E-05
800010.E-03  4502.62E-02  5999.74E-06
900010.E-03  4451.38E-02  4672.10E-06
100001.E-02  4095.77E-02  4938.81E-05
110001.E-02  3917.87E-02  1060.76E-04
120001.E-02  3775.90E-02  4664.78E-05
130001.E-02  3806.21E-02  1512.46E-04
140001.E-02  3907.34E-02  2403.59E-05
150001.E-02  3850.09E-02  1784.44E-05
160001.E-02  3560.29E-02  2407.81E-05
170001.E-02  3782.57E-02  1523.42E-04
180001.E-02  4374.11E-02  3896.70E-04
190001.E-02  4571.68E-02  5968.66E-04
200001.E-02  4181.60E-02  7520.56E-05
210001.E-02  3615.40E-02  5819.73E-05
220001.E-02  3482.29E-02  1212.98E-04
230001.E-02  3515.50E-02  4125.62E-05
240001.E-02  3482.90E-02  6315.50E-05
250001.E-02  3510.60E-02  1502.35E-04
260001.E-02  3707.24E-02  2839.83E-05
270001.E-02  3181.36E-02  1175.99E-05
280001.E-02  2963.57E-02  1452.10E-05
290001.E-02  2882.70E-02  2557.05E-04
300001.E-02  2984.10E-02  2105.30E-05
310001.E-02  2737.48E-02  2366.45E-05
320001.E-02  2619.98E-02  4723.89E-05
330001.E-02  2725.28E-02  2869.83E-05
340001.E-02  2654.03E-02  1857.37E-05
350001.E-02  2875.55E-02  9490.63E-05
360001.E-02  2634.68E-02  4764.88E-05
370001.E-02  2799.53E-02  2470.06E-05
380001.E-02  2705.73E-02  8425.47E-05
390001.E-02  2296.96E-02  1821.03E-05
400001.E-02  2211.12E-02  4926.62E-05
410001.E-02  2555.65E-02  1907.55E-05
420001.E-02  2294.66E-02  2049.23E-04
430001.E-02  2283.37E-02  4826.50E-05
440001.E-02  2041.15E-02  7681.47E-05
450001.E-02  2403.75E-02  1141.23E-04
460001.E-02  2393.63E-02  2133.43E-04
470001.E-02  2400.22E-02  3404.81E-05
480001.E-02  2399.72E-02  3108.71E-04
490001.E-02  1994.78E-02  6538.21E-05
500001.E-02  2130.93E-02  7372.51E-05
510001.E-02  2492.18E-02  1993.44E-04
520001.E-02  2035.08E-02  2569.04E-04
530001.E-02  1890.88E-02  1508.04E-04
540001.E-02  1818.82E-02  3240.79E-04
550001.E-02  1965.72E-02  7801.65E-05
560001.E-02  1797.63E-02  2732.45E-04
570001.E-02  2304.90E-02  6879.33E-04
580001.E-02  1800.01E-02  8159.22E-04
590001.E-02  1284.78E-02  2606.05E-04
600001.E-02  1686.72E-02  2587.84E-04
610001.E-02  1223.09E-02  2530.29E-04
620001.E-02  1111.59E-02  1331.10E-04
630001.E-02  9582.02E-03  1305.54E-04
640001.E-02  5765.40E-03  1661.80E-04
650001.E-02  7209.36E-03  2726.06E-04
660001.E-02  7988.48E-03  1546.26E-04
670001.E-02  6212.61E-03  9066.09E-05
680001.E-02  5042.28E-03  2052.26E-04
690001.E-02  3065.89E-03  1086.56E-04
700001.E-02  3696.29E-03  4043.70E-04
710001.E-02  1995.53E-03  1077.84E-04
720001.E-02  1179.36E-03  2807.41E-05
730001.E-02  1669.94E-03  3047.99E-05
740001.E-02  5502.36E-04  4917.08E-06
750001.E-02  3623.72E-04  1002.71E-06
760001.E-02  6782.30E-05  5457.14E-06
770001.E-02  2668.52E-04  7140.27E-07
780001.E-02  3217.62E-04  1466.53E-05
790001.E-02  3924.27E-04  2878.45E-05
800001.E-02  3543.73E-04  3814.24E-05
810001.E-02  0000.00E+00  0000.00E+00
820001.E-02  0000.00E+00  0000.00E+00
830001.E-02  0000.00E+00  0000.00E+00
840001.E-02  0000.00E+00  0000.00E+00
850001.E-02  0000.00E+00  0000.00E+00
860001.E-02  0000.00E+00  0000.00E+00
870001.E-02  0000.00E+00  0000.00E+00
880001.E-02  0000.00E+00  0000.00E+00
890001.E-02  0000.00E+00  0000.00E+00
900001.E-02  0000.00E+00  0000.00E+00
910001.E-02  0000.00E+00  0000.00E+00
920001.E-02  0000.00E+00  0000.00E+00
930001.E-02  0000.00E+00  0000.00E+00
940001.E-02  0000.00E+00  0000.00E+00
950001.E-02  0000.00E+00  0000.00E+00
960001.E-02  0000.00E+00  0000.00E+00
970001.E-02  0000.00E+00  0000.00E+00
980001.E-02  0000.00E+00  0000.00E+00
990001.E-02  0000.00E+00  0000.00E+00
100000.E-01  0000.00E+00  0000.00E+00
